i,scale,translation,center,lower,upper,norm,wavelet_norm,scaling_norm
29,6,"(10, 40)","(0.1640625, 0.6328125)","(0.15625, 0.625)","(0.171875, 0.640625)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
30,6,"(11, 40)","(0.1796875, 0.6328125)","(0.171875, 0.625)","(0.1875, 0.640625)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
31,7,"(24, 80)","(0.19140625, 0.62890625)","(0.1875, 0.625)","(0.1953125, 0.6328125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
32,7,"(25, 80)","(0.19921875, 0.62890625)","(0.1953125, 0.625)","(0.203125, 0.6328125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
33,7,"(25, 81)","(0.19921875, 0.63671875)","(0.1953125, 0.6328125)","(0.203125, 0.640625)",0.001569908644262782,1.2880038189925197e-07,2.3358127694317545e-06
34,7,"(24, 81)","(0.19140625, 0.63671875)","(0.1875, 0.6328125)","(0.1953125, 0.640625)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
35,7,"(24, 82)","(0.19140625, 0.64453125)","(0.1875, 0.640625)","(0.1953125, 0.6484375)",0.004475436797130716,7.917278936695286e-07,1.923780663144211e-05
36,7,"(24, 83)","(0.19140625, 0.65234375)","(0.1875, 0.6484375)","(0.1953125, 0.65625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
37,7,"(25, 83)","(0.19921875, 0.65234375)","(0.1953125, 0.6484375)","(0.203125, 0.65625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
38,7,"(25, 82)","(0.19921875, 0.64453125)","(0.1953125, 0.640625)","(0.203125, 0.6484375)",0.006657424804666,4.0959556203720297e-07,4.3911709467744915e-05
39,6,"(13, 41)","(0.2109375, 0.6484375)","(0.203125, 0.640625)","(0.21875, 0.65625)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
40,7,"(27, 81)","(0.21484375, 0.63671875)","(0.2109375, 0.6328125)","(0.21875, 0.640625)",0.005854490174344709,7.512103162938349e-07,3.3523844885204913e-05
41,7,"(26, 81)","(0.20703125, 0.63671875)","(0.203125, 0.6328125)","(0.2109375, 0.640625)",0.004139995129779007,7.909602326194572e-07,1.6348599441974438e-05
42,7,"(26, 80)","(0.20703125, 0.62890625)","(0.203125, 0.625)","(0.2109375, 0.6328125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
43,7,"(27, 80)","(0.21484375, 0.62890625)","(0.2109375, 0.625)","(0.21875, 0.6328125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
44,7,"(28, 80)","(0.22265625, 0.62890625)","(0.21875, 0.625)","(0.2265625, 0.6328125)",0.0013740314717312744,7.130643922022128e-08,1.8166560460877906e-06
45,7,"(28, 81)","(0.22265625, 0.63671875)","(0.21875, 0.6328125)","(0.2265625, 0.640625)",0.006822347526953028,3.1511594545589546e-07,4.62293098330662e-05
46,7,"(29, 81)","(0.23046875, 0.63671875)","(0.2265625, 0.6328125)","(0.234375, 0.640625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
47,7,"(29, 80)","(0.23046875, 0.62890625)","(0.2265625, 0.625)","(0.234375, 0.6328125)",0.0029318922806516423,5.28320012240444e-07,8.067672333104244e-06
48,7,"(30, 80)","(0.23828125, 0.62890625)","(0.234375, 0.625)","(0.2421875, 0.6328125)",0.0038464575303347355,6.140434797840138e-07,1.418119205288478e-05
49,7,"(31, 80)","(0.24609375, 0.62890625)","(0.2421875, 0.625)","(0.25, 0.6328125)",0.004360295852765571,8.351497076010572e-07,1.8177030216043584e-05
50,7,"(31, 81)","(0.24609375, 0.63671875)","(0.2421875, 0.6328125)","(0.25, 0.640625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
51,7,"(30, 81)","(0.23828125, 0.63671875)","(0.234375, 0.6328125)","(0.2421875, 0.640625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
52,6,"(15, 41)","(0.2421875, 0.6484375)","(0.234375, 0.640625)","(0.25, 0.65625)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
53,6,"(14, 41)","(0.2265625, 0.6484375)","(0.21875, 0.640625)","(0.234375, 0.65625)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
54,5,"(7, 21)","(0.234375, 0.671875)","(0.21875, 0.65625)","(0.25, 0.6875)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
55,5,"(6, 21)","(0.203125, 0.671875)","(0.1875, 0.65625)","(0.21875, 0.6875)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
56,4,"(3, 11)","(0.21875, 0.71875)","(0.1875, 0.6875)","(0.25, 0.75)",0.05624999999999953,1.907803821497556e-31,0.003164062499999947
57,5,"(5, 23)","(0.171875, 0.734375)","(0.15625, 0.71875)","(0.1875, 0.75)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
58,5,"(5, 22)","(0.171875, 0.703125)","(0.15625, 0.6875)","(0.1875, 0.71875)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
59,6,"(9, 45)","(0.1484375, 0.7109375)","(0.140625, 0.703125)","(0.15625, 0.71875)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
60,7,"(19, 89)","(0.15234375, 0.69921875)","(0.1484375, 0.6953125)","(0.15625, 0.703125)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
