run_id,status,alpha,beta,tau,sigma_c,refinement_decay,h,initial_threshold,refine_fraction,coarsen_fraction,zeta,RMSE,PSNR,SSIM,C_rel,basis_size,n_leaves,max_level_used,final_energy,safeguard_accept_rate,runtime_s
64,ok,0.01,0.0002,1e-07,0.2,0.6,0.8,0.008,0.05,0.05,1e-06,0.0537172810063349,25.397719560360493,0.8230761801279841,0.11669921875,478,478,6,0.005317700080350685,1.0,1.001115000108257
65,ok,0.02,0.0,2e-06,0.35,0.35,0.5,0.008,0.2,0.05,1e-07,0.05401507049337501,25.349701055771025,0.8708919255057196,0.09326171875,382,382,6,0.00905888036275626,0.3333333333333333,1.591544291935861
66,ok,0.04,0.0002,5e-07,0.2,0.6,0.25,0.02,0.2,0.05,0.0,0.0964604178411908,20.313017223209027,0.6055639820471522,0.019287109375,79,79,4,0.010256247034932551,1.0,0.20095858303830028
67,ok,0.04,0.0,1e-08,0.12,0.35,1.2,0.02,0.1,0.2,0.0,0.09601888248682498,20.352867057241166,0.6038223020945663,0.015625,64,64,4,0.009366156577392891,0.3333333333333333,0.2897719161119312
68,ok,0.04,0.0005,2e-06,0.05,0.6,1.2,0.004,0.1,0.1,1e-06,0.05365338471447069,25.40805750883468,0.7686595247257615,0.2880859375,1180,1180,6,0.009081518785036354,0.5,3.567302874987945
69,ok,0.04,5e-05,2e-06,0.35,0.2,0.8,0.004,0.2,0.2,1e-07,0.058387482382664196,24.673605014888317,0.8431578055268861,0.14306640625,586,586,6,0.013542007659697807,0.3333333333333333,3.5262415839824826
70,ok,0.005,0.0,1e-08,0.12,0.6,1.2,0.02,0.1,0.05,1e-06,0.09426069079311661,20.5133876364164,0.6081341297986017,0.02294921875,94,94,4,0.007739891068158681,1.0,0.3243608749471605
71,ok,0.002,5e-05,2e-06,0.2,0.2,0.25,0.008,0.1,0.1,1e-07,0.05364444088539056,25.409505536547773,0.8528423317258077,0.088134765625,361,361,6,0.005191222665685667,1.0,0.8756062919273973
72,ok,0.02,0.0,5e-07,0.08,0.2,0.5,0.02,0.05,0.2,1e-07,0.09426464223575061,20.51302352837762,0.6107880933769884,0.015625,64,64,4,0.008236487479991403,1.0,0.28055783407762647
73,ok,0.04,0.0,2e-06,0.08,0.6,0.25,0.004,0.1,0.05,0.0,0.05732183830676635,24.83359780524168,0.7197016718357494,0.239013671875,979,979,6,0.007546725027158006,1.0,2.254861167166382
74,ok,0.02,0.0005,1e-08,0.05,0.2,0.25,0.004,0.1,0.05,0.0,0.05252764313085978,25.59224170342204,0.7538340877984983,0.253662109375,1039,1039,6,0.005235996025175982,1.0,2.361690334044397
75,ok,0.01,0.0,1e-08,0.35,0.35,0.25,0.02,0.2,0.1,0.0,0.09431750550448112,20.508153878353692,0.6088454969181949,0.021484375,88,88,4,0.009416780257695344,1.0,0.2810682919807732
76,ok,0.002,0.0002,5e-07,0.12,0.35,1.2,0.012,0.1,0.05,0.0,0.07597547074685103,22.386532006697433,0.70443259128386,0.045654296875,187,187,6,0.00619929813628599,1.0,0.4261464159935713
77,ok,0.005,0.0,5e-07,0.12,0.2,1.2,0.008,0.05,0.1,0.0,0.05343771542118935,25.443042343427,0.8338037520689452,0.101318359375,415,415,6,0.00444363438628516,1.0,1.189134375192225
78,ok,0.04,5e-05,2e-06,0.05,0.35,0.8,0.02,0.05,0.05,1e-06,0.09412133167737423,20.52623873658332,0.6126378439535075,0.0185546875,76,76,4,0.008385845818320133,0.16666666666666666,0.33468412491492927
79,ok,0.005,0.0,1e-08,0.05,0.35,1.2,0.004,0.05,0.2,1e-07,0.05805077871331748,24.72383900218482,0.685124648293695,0.2880859375,1180,1180,6,0.0026663272190126583,1.0,2.9217923749238253
80,ok,0.04,0.0002,2e-06,0.08,0.35,0.5,0.012,0.05,0.2,1e-06,0.07764243767507566,22.198016757735633,0.6914591135655292,0.038330078125,157,157,6,0.008000163662666896,0.5,0.4551377082243562
81,ok,0.005,0.0002,2e-06,0.05,0.35,1.2,0.02,0.05,0.05,1e-06,0.09406558243362509,20.53138502207361,0.6136802288728616,0.0185546875,76,76,4,0.0080464211835518,1.0,0.26584691694006324
82,ok,0.002,0.0002,2e-06,0.12,0.2,1.2,0.012,0.2,0.1,1e-06,0.07630213017874872,22.34926674759643,0.7039458882197857,0.04052734375,166,166,6,0.006553121153703254,1.0,0.39223962486721575
83,ok,0.005,0.0002,2e-06,0.08,0.2,1.2,0.008,0.1,0.1,1e-07,0.05323563565891494,25.475951117644687,0.8534967228213329,0.088134765625,361,361,6,0.005683732279649079,1.0,0.854464374948293
84,ok,0.005,0.0002,2e-06,0.08,0.35,1.2,0.012,0.05,0.2,0.0,0.07610049508184584,22.372250357199754,0.7051767804714572,0.042724609375,175,175,6,0.0066435376616107355,1.0,0.4356442498974502
85,ok,0.005,0.0005,1e-07,0.12,0.2,0.8,0.008,0.1,0.1,1e-07,0.052629021746106196,25.575494049100186,0.8500213459415341,0.101318359375,415,415,6,0.005602953358634828,1.0,0.8673290000297129
86,ok,0.01,0.0005,2e-06,0.05,0.2,0.25,0.008,0.1,0.1,1e-07,0.05311779009041298,25.495200032553637,0.8532960205310701,0.088134765625,361,361,6,0.006526226814661972,1.0,0.8662094580940902
87,ok,0.005,0.0,2e-06,0.12,0.2,0.8,0.012,0.2,0.2,1e-06,0.07634010201969613,22.344945280046108,0.7046176296052215,0.042724609375,175,175,6,0.006335230956035074,1.0,0.48135712486691773
88,ok,0.04,5e-05,2e-06,0.2,0.6,0.5,0.012,0.2,0.05,1e-06,0.08007346047262101,21.93022805039124,0.6913079279534908,0.041259765625,169,169,6,0.008761389931111595,1.0,0.3798122920561582
89,ok,0.04,0.0005,1e-07,0.2,0.35,0.8,0.02,0.1,0.2,0.0,0.09770929688295456,20.20128223783025,0.6005009506149391,0.015625,64,64,4,0.010659109109421031,1.0,0.2273821251001209
90,ok,0.04,0.0002,2e-06,0.2,0.6,0.5,0.004,0.05,0.05,0.0,0.060723826057672514,24.332817448646203,0.732506740918643,0.239013671875,979,979,6,0.009463026722641332,1.0,1.91872041602619
